Feature,ElasticNet_Coefficient,ElasticNet_AbsCoeff,ElasticNet_Rank
postal_code_P8R,0.8465281554704452,0.8465281554704452,130
postal_code_V6I,-0.843122226490917,0.843122226490917,131
postal_code_J2N,0.8403052728178515,0.8403052728178515,132
postal_code_V6V,-0.8384002284344131,0.8384002284344131,133
postal_code_L9N,0.8327319410475125,0.8327319410475125,134
postal_code_M4P,-0.8314975463666159,0.8314975463666159,135
postal_code_V8E,-0.8292364018247962,0.8292364018247962,136
claim_type_Injury,0.8196087269189961,0.8196087269189961,137
postal_code_R6D,-0.8185175232337926,0.8185175232337926,138
postal_code_R3B,0.8175154719326111,0.8175154719326111,139
postal_code_P5A,0.8175075897802061,0.8175075897802061,140
postal_code_H3H,0.8147635882896546,0.8147635882896546,141
postal_code_N9X,0.8108576069694088,0.8108576069694088,142
postal_code_P8K,0.805698205423529,0.805698205423529,143
postal_code_G8M,0.8055886844046788,0.8055886844046788,144
postal_code_M6H,0.8035963950726208,0.8035963950726208,145
postal_code_R6W,0.802297861330879,0.802297861330879,146
postal_code_L9E,0.7997754841472838,0.7997754841472838,147
postal_code_M4N,-0.7994824877526201,0.7994824877526201,148
postal_code_N2L,0.7989641275071757,0.7989641275071757,149
postal_code_B4I,0.7903729603526483,0.7903729603526483,150
postal_code_V5Q,0.7879186275570766,0.7879186275570766,151
postal_code_S8N,0.7869817614031045,0.7869817614031045,152
postal_code_J5W,-0.7864862149671664,0.7864862149671664,153
postal_code_T6Y,0.7834645627308867,0.7834645627308867,154
postal_code_K5G,0.7800804654944007,0.7800804654944007,155
postal_code_T7Y,0.7794057693355417,0.7794057693355417,156
postal_code_V7X,0.7760052340078686,0.7760052340078686,157
postal_code_V4S,0.7713631290042401,0.7713631290042401,158
postal_code_K5K,0.7696780191647727,0.7696780191647727,159
postal_code_M5N,0.7695196843148518,0.7695196843148518,160
postal_code_J3T,0.7668483403237422,0.7668483403237422,161
postal_code_R5T,0.7616932896213816,0.7616932896213816,162
postal_code_J9R,0.7600887242783788,0.7600887242783788,163
postal_code_M1O,-0.7593744026684364,0.7593744026684364,164
postal_code_J6P,0.7528246718831603,0.7528246718831603,165
postal_code_N6T,0.7514820040104732,0.7514820040104732,166
postal_code_P1C,0.7505598596933957,0.7505598596933957,167
postal_code_H6M,0.7487412714687992,0.7487412714687992,168
postal_code_J5Y,0.7449818012067724,0.7449818012067724,169
postal_code_M2F,0.7442861325090152,0.7442861325090152,170
postal_code_H3M,0.7440534698476176,0.7440534698476176,171
postal_code_P2U,0.7379445418061269,0.7379445418061269,172
postal_code_K5A,0.7367587850816234,0.7367587850816234,173
postal_code_V4H,0.7351840182963184,0.7351840182963184,174
postal_code_E5Q,0.7349097664232159,0.7349097664232159,175
postal_code_T9Z,0.7348482398810925,0.7348482398810925,176
postal_code_H6X,0.7337464269558659,0.7337464269558659,177
postal_code_B2X,0.7294794155098903,0.7294794155098903,178
postal_code_T3H,0.7294329634988517,0.7294329634988517,179
postal_code_K9M,-0.728849813964497,0.728849813964497,180
postal_code_M7N,0.7279689557490858,0.7279689557490858,181
postal_code_A9F,0.7272260580849594,0.7272260580849594,182
postal_code_V1L,0.7267876639177018,0.7267876639177018,183
postal_code_N8Q,-0.7266761469616378,0.7266761469616378,184
postal_code_P8W,0.723326929657952,0.723326929657952,185
postal_code_P9L,0.7215767637369079,0.7215767637369079,186
postal_code_N5H,0.7209105878041738,0.7209105878041738,187
postal_code_V8V,0.7174985350221122,0.7174985350221122,188
postal_code_C5F,0.7172126784911015,0.7172126784911015,189
postal_code_P7E,0.7160888425263245,0.7160888425263245,190
postal_code_B1I,0.7160317244417327,0.7160317244417327,191
postal_code_V3M,0.7153467618879866,0.7153467618879866,192
postal_code_H7I,0.71532264403855,0.71532264403855,193
postal_code_M5O,0.7148628517004431,0.7148628517004431,194
postal_code_G1S,-0.7145485207596098,0.7145485207596098,195
postal_code_N8W,0.7143141092881115,0.7143141092881115,196
postal_code_V4J,0.7099082896374006,0.7099082896374006,197
postal_code_N7O,0.7098470274025085,0.7098470274025085,198
postal_code_A6M,0.7087190167093236,0.7087190167093236,199
postal_code_P9H,0.7046396151356513,0.7046396151356513,200
postal_code_J3S,0.7043304025286689,0.7043304025286689,201
postal_code_E8W,0.7038837799295801,0.7038837799295801,202
postal_code_J4V,0.7022467435489613,0.7022467435489613,203
postal_code_S5Z,0.7021421929996587,0.7021421929996587,204
postal_code_G6I,0.6975700284662437,0.6975700284662437,205
postal_code_L1D,0.6938558292619423,0.6938558292619423,206
postal_code_B3A,0.6935925635723037,0.6935925635723037,207
postal_code_M4R,0.6926480086176405,0.6926480086176405,208
postal_code_N3V,0.6920279375698357,0.6920279375698357,209
postal_code_M1S,-0.6873807825081057,0.6873807825081057,210
postal_code_B7J,0.6858175166812251,0.6858175166812251,211
postal_code_H1G,0.6854591758692105,0.6854591758692105,212
postal_code_V3R,0.6803475255918542,0.6803475255918542,213
postal_code_G1M,0.6797661570255032,0.6797661570255032,214
postal_code_T1J,-0.6784786545463403,0.6784786545463403,215
postal_code_V8W,-0.6771464793221943,0.6771464793221943,216
postal_code_J4L,0.6765881070851877,0.6765881070851877,217
postal_code_M2D,0.676329446139022,0.676329446139022,218
postal_code_L6X,0.6754308480554797,0.6754308480554797,219
postal_code_T1N,-0.6751268899567091,0.6751268899567091,220
postal_code_J9P,0.6747643328184736,0.6747643328184736,221
postal_code_J7B,0.6738617604294601,0.6738617604294601,222
postal_code_T3Q,0.6723537653584432,0.6723537653584432,223
postal_code_P8G,0.6707033864831697,0.6707033864831697,224
postal_code_T5D,-0.6653047779851278,0.6653047779851278,225
postal_code_V2K,-0.6652333462992959,0.6652333462992959,226
postal_code_B8U,0.6650803671584179,0.6650803671584179,227
postal_code_G2L,0.6644926705553111,0.6644926705553111,228
postal_code_B7Q,0.6608651435991254,0.6608651435991254,229
postal_code_T4Y,0.66074317523505,0.66074317523505,230
postal_code_J8A,0.6606610394922243,0.6606610394922243,231
postal_code_B7U,0.6591184266571617,0.6591184266571617,232
postal_code_S5O,0.6578967151593954,0.6578967151593954,233
postal_code_B5S,-0.6572270325621643,0.6572270325621643,234
postal_code_C2F,0.6560672705941154,0.6560672705941154,235
postal_code_K9Y,0.6553865175796598,0.6553865175796598,236
postal_code_G9F,0.6548739423364274,0.6548739423364274,237
postal_code_T9W,0.6548672141113453,0.6548672141113453,238
postal_code_V9T,-0.6547949962741471,0.6547949962741471,239
postal_code_P4A,0.6544190538640522,0.6544190538640522,240
postal_code_K4N,0.6543038952865741,0.6543038952865741,241
postal_code_H7O,-0.6521584227387176,0.6521584227387176,242
postal_code_E9E,0.6510589826133653,0.6510589826133653,243
postal_code_S7N,0.6492644829892136,0.6492644829892136,244
postal_code_R7Y,0.648908615855033,0.648908615855033,245
postal_code_N4V,-0.6485116886718754,0.6485116886718754,246
postal_code_N5L,-0.6482206384414275,0.6482206384414275,247
postal_code_H7S,0.6445958543173979,0.6445958543173979,248
postal_code_V5M,-0.6431132377822294,0.6431132377822294,249
postal_code_J2T,0.6416705940426279,0.6416705940426279,250
postal_code_T2N,-0.6400227999073341,0.6400227999073341,251
postal_code_T4H,0.6387384903514307,0.6387384903514307,252
postal_code_H8I,0.6386364532473084,0.6386364532473084,253
postal_code_P7L,0.6361038965076433,0.6361038965076433,254
postal_code_K7M,-0.6351422579871621,0.6351422579871621,255
postal_code_L4C,-0.6334081902430257,0.6334081902430257,256
postal_code_V6K,-0.6331022383180299,0.6331022383180299,257
postal_code_P3L,0.6309395291098887,0.6309395291098887,258
postal_code_T1U,-0.629827262310156,0.629827262310156,259
postal_code_V8L,-0.6297228519121137,0.6297228519121137,260
postal_code_T4P,-0.6248927220867105,0.6248927220867105,261
postal_code_S8D,0.6233854698929319,0.6233854698929319,262
postal_code_L6Q,-0.6223095987541061,0.6223095987541061,263
postal_code_G6Z,0.6148180198846975,0.6148180198846975,264
postal_code_K4B,0.6146709862907039,0.6146709862907039,265
postal_code_C7C,0.6082412554174403,0.6082412554174403,266
postal_code_B8V,0.6070814890335359,0.6070814890335359,267
postal_code_V3P,-0.6065720363957018,0.6065720363957018,268
claim_type_Vandalism,-0.6063481699613805,0.6063481699613805,269
postal_code_T6R,-0.6061965655856668,0.6061965655856668,270
postal_code_T5W,-0.6057368964818374,0.6057368964818374,271
postal_code_M3D,-0.6043092495981226,0.6043092495981226,272
postal_code_P8F,0.6035372225404912,0.6035372225404912,273
postal_code_N6D,0.602830068422171,0.602830068422171,274
postal_code_A3S,0.5996434864821373,0.5996434864821373,275
postal_code_K5E,0.5972634271001293,0.5972634271001293,276
postal_code_G8P,0.5969121080954792,0.5969121080954792,277
postal_code_S4Q,0.5953060237489132,0.5953060237489132,278
postal_code_R6L,0.5952037509451802,0.5952037509451802,279
postal_code_V7Y,0.5941164691740017,0.5941164691740017,280
postal_code_E2Q,0.5918353807226446,0.5918353807226446,281
postal_code_P4W,-0.5906809739945209,0.5906809739945209,282
postal_code_B6P,0.589863899271136,0.589863899271136,283
postal_code_P9D,0.5894609874208687,0.5894609874208687,284
postal_code_P4F,-0.5890290407567808,0.5890290407567808,285
postal_code_V2M,0.5879951073059735,0.5879951073059735,286
postal_code_K8U,-0.5866981391624874,0.5866981391624874,287
postal_code_N2E,0.5857203517302032,0.5857203517302032,288
postal_code_N3O,-0.5838779683451035,0.5838779683451035,289
postal_code_L3L,0.5837768408104393,0.5837768408104393,290
postal_code_V6X,0.5834939949766412,0.5834939949766412,291
postal_code_S6Z,0.5823397628546926,0.5823397628546926,292
postal_code_J3L,-0.5822394399197363,0.5822394399197363,293
postal_code_V3U,-0.5808138579440728,0.5808138579440728,294
postal_code_N6E,0.5807134152303157,0.5807134152303157,295
postal_code_V4W,0.5785054403393023,0.5785054403393023,296
postal_code_G5I,0.5769784721088388,0.5769784721088388,297
postal_code_V3L,0.5767894819548625,0.5767894819548625,298
postal_code_E9B,0.5766609405283385,0.5766609405283385,299
postal_code_V4Q,-0.5765612263882929,0.5765612263882929,300
postal_code_G3U,0.5759337519411292,0.5759337519411292,301
postal_code_S8G,0.5756234841455786,0.5756234841455786,302
postal_code_M9K,-0.572785921749148,0.572785921749148,303
postal_code_C6U,0.5712319140486294,0.5712319140486294,304
postal_code_N2G,-0.570505622402537,0.570505622402537,305
postal_code_B8P,0.5696906343997914,0.5696906343997914,306
postal_code_G6C,0.5677514823764825,0.5677514823764825,307
postal_code_M2C,-0.5675223673195534,0.5675223673195534,308
postal_code_J6B,0.5660638957059839,0.5660638957059839,309
claim_type_Weather,-0.5648294126220672,0.5648294126220672,310
postal_code_V1H,-0.5645535822043213,0.5645535822043213,311
postal_code_K8H,-0.5631321484164981,0.5631321484164981,312
postal_code_H9I,0.5611763287528571,0.5611763287528571,313
postal_code_E2D,0.5611128241026812,0.5611128241026812,314
postal_code_L3Q,-0.5604441896274651,0.5604441896274651,315
postal_code_V1P,-0.5596034501725853,0.5596034501725853,316
postal_code_N7E,0.5592811169519697,0.5592811169519697,317
postal_code_T6W,-0.5589367099968372,0.5589367099968372,318
postal_code_R3L,0.5589079232482775,0.5589079232482775,319
postal_code_T5K,-0.5588740509414284,0.5588740509414284,320
postal_code_M5W,-0.5579941148776705,0.5579941148776705,321
postal_code_J2U,-0.5563648548309473,0.5563648548309473,322
postal_code_E2L,0.553618387861336,0.553618387861336,323
postal_code_E9Y,0.5520016822922188,0.5520016822922188,324
postal_code_G5Z,0.549892954597563,0.549892954597563,325
postal_code_M2M,0.5496911204600741,0.5496911204600741,326
postal_code_M3X,0.5493166100120863,0.5493166100120863,327
postal_code_K6K,0.5486758703953071,0.5486758703953071,328
postal_code_T6H,-0.5484658702531222,0.5484658702531222,329
postal_code_T1G,-0.5480401235991993,0.5480401235991993,330
postal_code_N8Z,-0.547617102535434,0.547617102535434,331
postal_code_V5R,-0.5474487025259729,0.5474487025259729,332
postal_code_K3Q,0.5464444028524347,0.5464444028524347,333
postal_code_H3E,0.5455869541238981,0.5455869541238981,334
postal_code_H6F,-0.5449013800293466,0.5449013800293466,335
postal_code_T6L,0.5436772234793613,0.5436772234793613,336
postal_code_J7N,0.5417206711233327,0.5417206711233327,337
postal_code_N9P,-0.5413196958925331,0.5413196958925331,338
postal_code_N1K,-0.5407442344138602,0.5407442344138602,339
postal_code_C7N,0.5395462598335868,0.5395462598335868,340
postal_code_P4G,-0.5385666996624706,0.5385666996624706,341
postal_code_G5H,-0.5384152910819231,0.5384152910819231,342
postal_code_C4K,0.5367147366694,0.5367147366694,343
postal_code_T1I,-0.5365981279520371,0.5365981279520371,344
postal_code_P7Y,0.5359562450288238,0.5359562450288238,345
postal_code_T6T,-0.535421041193945,0.535421041193945,346
postal_code_P5Z,0.5350060171868772,0.5350060171868772,347
postal_code_M6G,-0.5346598342208161,0.5346598342208161,348
postal_code_S9L,0.5337936365655336,0.5337936365655336,349
postal_code_T5H,-0.5308325703415135,0.5308325703415135,350
postal_code_E3K,0.5275184523551343,0.5275184523551343,351
postal_code_L7O,-0.5263707505224581,0.5263707505224581,352
postal_code_V9W,-0.5257021100594715,0.5257021100594715,353
postal_code_J5D,0.5256211281238129,0.5256211281238129,354
postal_code_M9Z,0.5241302565311909,0.5241302565311909,355
postal_code_M9O,-0.5236541735880161,0.5236541735880161,356
postal_code_A1Y,0.5226128734629057,0.5226128734629057,357
postal_code_K2Q,0.5219303606692133,0.5219303606692133,358
postal_code_S1U,0.5214544209165387,0.5214544209165387,359
postal_code_J5P,0.519524554190178,0.519524554190178,360
postal_code_G3S,0.5123453946324494,0.5123453946324494,361
postal_code_G4L,0.5122858246152042,0.5122858246152042,362
postal_code_K3R,-0.5120876336867997,0.5120876336867997,363
postal_code_E4L,0.5107986603708885,0.5107986603708885,364
postal_code_R8L,0.510360369203709,0.510360369203709,365
postal_code_G4W,0.510018241661716,0.510018241661716,366
postal_code_K3X,-0.5099945594888635,0.5099945594888635,367
postal_code_C7I,0.5095124774924276,0.5095124774924276,368
postal_code_S6P,0.509211266943184,0.509211266943184,369
postal_code_T7T,-0.5088987506815701,0.5088987506815701,370
postal_code_K4J,-0.5087840552444725,0.5087840552444725,371
postal_code_L3H,0.5075300457806209,0.5075300457806209,372
claim_type_Glass,-0.5073980829828595,0.5073980829828595,373
postal_code_K8V,0.5072830406613115,0.5072830406613115,374
postal_code_M4J,0.5064171597552511,0.5064171597552511,375
postal_code_M2V,0.5053340305330611,0.5053340305330611,376
postal_code_C8I,0.5048485585038367,0.5048485585038367,377
postal_code_V9I,-0.504583228153842,0.504583228153842,378
postal_code_P1P,0.5045693710519196,0.5045693710519196,379
postal_code_V7K,-0.5033322006791439,0.5033322006791439,380
postal_code_A2J,0.5029293068608983,0.5029293068608983,381
postal_code_G4P,0.5024943336541638,0.5024943336541638,382
postal_code_E4A,0.5009029194200665,0.5009029194200665,383
postal_code_N1H,-0.4995745659930741,0.4995745659930741,384
postal_code_V3T,0.49949270868818574,0.49949270868818574,385
postal_code_A6B,0.49878911553780586,0.49878911553780586,386
postal_code_T3X,0.4973376476188901,0.4973376476188901,387
postal_code_V5O,-0.4972370214836394,0.4972370214836394,388
postal_code_V8Z,0.496073351687826,0.496073351687826,389
postal_code_V1N,-0.49588806828887555,0.49588806828887555,390
postal_code_H5M,0.49524643670010005,0.49524643670010005,391
postal_code_L5Y,-0.49270179443204354,0.49270179443204354,392
postal_code_A3W,0.4925554483443929,0.4925554483443929,393
postal_code_H7U,0.4925389900177021,0.4925389900177021,394
postal_code_R1C,0.4921895159726731,0.4921895159726731,395
postal_code_V8I,0.4914020859806732,0.4914020859806732,396
postal_code_H5F,0.49029548699536546,0.49029548699536546,397
postal_code_A2Z,0.4902669690732276,0.4902669690732276,398
postal_code_N3E,0.49010687276367404,0.49010687276367404,399
postal_code_K3T,0.4896266493587888,0.4896266493587888,400
postal_code_M5R,-0.4895767639060616,0.4895767639060616,401
postal_code_L2F,0.48649377271407235,0.48649377271407235,402
postal_code_K1X,0.4844422635750606,0.4844422635750606,403
postal_code_P9S,-0.4833377736588145,0.4833377736588145,404
postal_code_K1J,0.48198534063013554,0.48198534063013554,405
postal_code_H4I,0.48083581607228315,0.48083581607228315,406
postal_code_M6E,0.47879752805933123,0.47879752805933123,407
postal_code_M7R,-0.4777020727780198,0.4777020727780198,408
postal_code_R7O,0.47747311242730867,0.47747311242730867,409
postal_code_N4W,0.4771227216230895,0.4771227216230895,410
postal_code_V2F,0.47693380192265994,0.47693380192265994,411
postal_code_C8F,0.4758842339315505,0.4758842339315505,412
postal_code_T5J,0.4741736196438203,0.4741736196438203,413
postal_code_H4P,-0.4739227605660576,0.4739227605660576,414
postal_code_K5N,0.47328493953317846,0.47328493953317846,415
postal_code_P6F,-0.4732215902223607,0.4732215902223607,416
postal_code_J4O,-0.47309970540858526,0.47309970540858526,417
postal_code_N4J,0.47264130810330257,0.47264130810330257,418
postal_code_V9C,0.47226294917731776,0.47226294917731776,419
postal_code_L5N,-0.4694795576402454,0.4694795576402454,420
postal_code_A9D,0.46902058448572104,0.46902058448572104,421
postal_code_K1W,-0.4677226153220451,0.4677226153220451,422
postal_code_T1O,-0.46597016537669383,0.46597016537669383,423
postal_code_N7G,0.4658015817634418,0.4658015817634418,424
postal_code_K6Q,0.4647739731896476,0.4647739731896476,425
postal_code_B7R,0.46427146200387254,0.46427146200387254,426
postal_code_M9T,0.46294081846020796,0.46294081846020796,427
postal_code_C6B,0.4618892636545335,0.4618892636545335,428
postal_code_E3I,-0.4553586824144487,0.4553586824144487,429
postal_code_T3C,0.45473813883896413,0.45473813883896413,430
postal_code_S8T,0.4542917202254344,0.4542917202254344,431
postal_code_T8E,-0.45359294933728667,0.45359294933728667,432
postal_code_V3Y,0.4533910425592504,0.4533910425592504,433
postal_code_V1J,-0.4522133492174535,0.4522133492174535,434
postal_code_A2A,0.4513501224041773,0.4513501224041773,435
postal_code_H8L,0.4501221616384464,0.4501221616384464,436
postal_code_J8W,-0.4496537606257449,0.4496537606257449,437
postal_code_P2M,0.4486121851214706,0.4486121851214706,438
postal_code_T4X,-0.448162873926848,0.448162873926848,439
postal_code_L9G,-0.44814043871497505,0.44814043871497505,440
postal_code_P5J,0.44644389218647745,0.44644389218647745,441
postal_code_N6H,-0.4454939848364867,0.4454939848364867,442
postal_code_P5Y,-0.4433516480250993,0.4433516480250993,443
postal_code_H5V,0.4431708815823947,0.4431708815823947,444
postal_code_V3K,0.44178596960963123,0.44178596960963123,445
postal_code_P7I,0.44160619856124467,0.44160619856124467,446
postal_code_K4D,-0.4400531610641203,0.4400531610641203,447
postal_code_T3A,0.4395595083375433,0.4395595083375433,448
postal_code_M7Q,-0.43821198428865804,0.43821198428865804,449
postal_code_M5I,-0.4380523658611423,0.4380523658611423,450
postal_code_L3R,0.43796482928135055,0.43796482928135055,451
postal_code_J7Z,0.4376398943235545,0.4376398943235545,452
postal_code_K8T,-0.4373350267448102,0.4373350267448102,453
postal_code_A4F,0.4366887491694841,0.4366887491694841,454
postal_code_S5M,0.4365384250061615,0.4365384250061615,455
postal_code_V5U,0.4347355943925115,0.4347355943925115,456
postal_code_G8V,-0.43470182022712434,0.43470182022712434,457
postal_code_K9G,0.43438334993002226,0.43438334993002226,458
postal_code_L3O,0.43426109089839243,0.43426109089839243,459
postal_code_C2I,0.4337698747057965,0.4337698747057965,460
postal_code_S2T,0.4330688291947259,0.4330688291947259,461
postal_code_V2B,0.43149576112742777,0.43149576112742777,462
postal_code_M8Z,-0.4313606679061703,0.4313606679061703,463
postal_code_T7E,-0.43048239949114275,0.43048239949114275,464
postal_code_N4O,-0.42919165174707735,0.42919165174707735,465
postal_code_V6C,0.4287187701309799,0.4287187701309799,466
postal_code_V8A,-0.4286284506654371,0.4286284506654371,467
postal_code_V9V,-0.42726992222412963,0.42726992222412963,468
postal_code_T1T,-0.4270767727086154,0.4270767727086154,469
postal_code_S4G,0.4258638541949072,0.4258638541949072,470
postal_code_A7B,-0.4257613235250119,0.4257613235250119,471
postal_code_J3Z,-0.42515762875215535,0.42515762875215535,472
postal_code_V2Y,-0.42475186221814687,0.42475186221814687,473
postal_code_J1Y,0.42397782215275537,0.42397782215275537,474
postal_code_E2K,0.42374796075860977,0.42374796075860977,475
postal_code_G2U,-0.4213621815001658,0.4213621815001658,476
postal_code_R2Y,0.42098510440156983,0.42098510440156983,477
